Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1695351556,500,,Aggregated,133.600000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,16000,17000,18000,11650,0,1000.0,1376.9547350138191,248.24108000007072,17524.28754499988,257.2596566523605
1695351557,500,,Aggregated,133.100000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,17000,17000,18000,11787,0,1000.0,1380.0792310402987,248.24108000007072,17524.28754499988,257.2863324001018
1695351558,500,,Aggregated,136.400000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,17000,17000,18000,11933,0,1000.0,1379.755881583174,248.24108000007072,17524.28754499988,257.37383725802397
1695351559,500,,Aggregated,136.300000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,16000,17000,18000,12063,0,1000.0,1380.7950244902606,248.24108000007072,17524.28754499988,257.4338887507254
1695351560,500,,Aggregated,136.900000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,16000,17000,18000,12180,0,1000.0,1381.334061660758,248.24108000007072,17524.28754499988,257.5746305418719
1695351561,500,,Aggregated,136.600000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,16000,17000,18000,12312,0,1000.0,1382.2755154299073,248.24108000007072,17524.28754499988,257.65497076023394
1695351562,500,,Aggregated,135.200000,0.000000,1000,1100,1200,1900,2100,3800,4400,8100,17000,18000,33000,12458,0,1000.0,1386.6957656871111,248.24108000007072,32618.998121999994,257.59528014127466
1695351563,500,,Aggregated,132.800000,0.000000,1000,1100,1200,1900,2100,3800,4400,8100,17000,33000,33000,12582,0,1000.0,1391.488457905264,248.24108000007072,33314.213592999746,257.60419647114924
1695351564,500,,Aggregated,133.600000,0.000000,1000,1100,1200,1900,2100,3800,4400,8100,17000,33000,33000,12724,0,1000.0,1393.5660077090572,248.24108000007072,33314.213592999746,257.5006287331028
1695351565,500,,Aggregated,133.800000,0.000000,1000,1100,1200,1900,2100,3900,4400,8100,17000,33000,33000,12850,0,1000.0,1402.6093907329212,248.24108000007072,33314.213592999746,257.3979766536965
